"Cycle 2:Pt #002:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.250000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
6.788620e+002,2.255530e+004,2.251618e+004,2.251618e+004,,8.078180e+002,1.804424e+004,1.801294e+004,1.801294e+004
6.789620e+002,2.244480e+004,2.251584e+004,2.251584e+004,,8.077180e+002,1.795584e+004,1.801267e+004,1.801267e+004
6.790620e+002,2.246110e+004,2.251558e+004,2.251558e+004,,8.076180e+002,1.796888e+004,1.801246e+004,1.801246e+004
6.791620e+002,2.273700e+004,2.251452e+004,2.251452e+004,,8.075180e+002,1.818960e+004,1.801162e+004,1.801162e+004
6.792620e+002,2.315520e+004,2.251147e+004,2.251147e+004,,8.074180e+002,1.852416e+004,1.800917e+004,1.800917e+004
6.793620e+002,2.270030e+004,2.251057e+004,2.251057e+004,,8.073180e+002,1.816024e+004,1.800845e+004,1.800845e+004
6.794620e+002,2.255780e+004,2.251034e+004,2.251034e+004,,8.072180e+002,1.804624e+004,1.800827e+004,1.800827e+004
6.795620e+002,2.265100e+004,2.250967e+004,2.250967e+004,,8.071180e+002,1.812080e+004,1.800774e+004,1.800774e+004
6.796620e+002,2.271590e+004,2.250869e+004,2.250869e+004,,8.070180e+002,1.817272e+004,1.800695e+004,1.800695e+004
6.797620e+002,2.290260e+004,2.250681e+004,2.250681e+004,,8.069180e+002,1.832208e+004,1.800545e+004,1.800545e+004
6.798620e+002,2.309030e+004,2.250403e+004,2.250403e+004,,8.068180e+002,1.847224e+004,1.800322e+004,1.800322e+004
6.799620e+002,2.305780e+004,2.250139e+004,2.250139e+004,,8.067180e+002,1.844624e+004,1.800111e+004,1.800111e+004
6.800620e+002,2.281570e+004,2.249989e+004,2.249989e+004,,8.066180e+002,1.825256e+004,1.799991e+004,1.799991e+004
6.801620e+002,2.276980e+004,2.249860e+004,2.249860e+004,,8.065180e+002,1.821584e+004,1.799888e+004,1.799888e+004
6.802620e+002,2.263270e+004,2.249796e+004,2.249796e+004,,8.064180e+002,1.810616e+004,1.799837e+004,1.799837e+004
6.803620e+002,2.316300e+004,2.249479e+004,2.249479e+004,,8.063180e+002,1.853040e+004,1.799583e+004,1.799583e+004
6.804620e+002,2.304700e+004,2.249216e+004,2.249216e+004,,8.062180e+002,1.843760e+004,1.799372e+004,1.799372e+004
6.805620e+002,2.304610e+004,2.248951e+004,2.248951e+004,,8.061180e+002,1.843688e+004,1.799161e+004,1.799161e+004
6.806620e+002,2.320250e+004,2.248611e+004,2.248611e+004,,8.060180e+002,1.856200e+004,1.798889e+004,1.798889e+004
6.807620e+002,2.308870e+004,2.248324e+004,2.248324e+004,,8.059180e+002,1.847096e+004,1.798659e+004,1.798659e+004
6.808620e+002,2.340530e+004,2.247884e+004,2.247884e+004,,8.058180e+002,1.872424e+004,1.798307e+004,1.798307e+004
6.809620e+002,2.300580e+004,2.247633e+004,2.247633e+004,,8.057180e+002,1.840464e+004,1.798106e+004,1.798106e+004
6.810620e+002,2.297930e+004,2.247393e+004,2.247393e+004,,8.056180e+002,1.838344e+004,1.797915e+004,1.797915e+004
6.811620e+002,2.358800e+004,2.246862e+004,2.246862e+004,,8.055180e+002,1.887040e+004,1.797489e+004,1.797489e+004
6.812620e+002,2.354200e+004,2.246350e+004,2.246350e+004,,8.054180e+002,1.883360e+004,1.797080e+004,1.797080e+004
6.813620e+002,2.337610e+004,2.245915e+004,2.245915e+004,,8.053180e+002,1.870088e+004,1.796732e+004,1.796732e+004
6.814620e+002,2.356800e+004,2.245386e+004,2.245386e+004,,8.052180e+002,1.885440e+004,1.796309e+004,1.796309e+004
