"Cycle 1:CoEchem1:F1s Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.000000e+000
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
7.992240e+002,2.259150e+004,9.249786e+003,9.249786e+003,,6.874560e+002,2.259150e+004,9.249786e+003,9.249786e+003
7.993240e+002,2.281450e+004,9.231228e+003,9.231228e+003,,6.873560e+002,2.281450e+004,9.231228e+003,9.231228e+003
7.994240e+002,2.203440e+004,9.213711e+003,9.213711e+003,,6.872560e+002,2.203440e+004,9.213711e+003,9.213711e+003
7.995240e+002,2.156580e+004,9.196811e+003,9.196811e+003,,6.871560e+002,2.156580e+004,9.196811e+003,9.196811e+003
7.996240e+002,2.114470e+004,9.180465e+003,9.180465e+003,,6.870560e+002,2.114470e+004,9.180465e+003,9.180465e+003
7.997240e+002,1.991630e+004,9.165777e+003,9.165777e+003,,6.869560e+002,1.991630e+004,9.165777e+003,9.165777e+003
7.998240e+002,1.930660e+004,9.151902e+003,9.151902e+003,,6.868560e+002,1.930660e+004,9.151902e+003,9.151902e+003
7.999240e+002,1.836780e+004,9.139294e+003,9.139294e+003,,6.867560e+002,1.836780e+004,9.139294e+003,9.139294e+003
8.000240e+002,1.724720e+004,9.128201e+003,9.128201e+003,,6.866560e+002,1.724720e+004,9.128201e+003,9.128201e+003
8.001240e+002,1.665160e+004,9.117908e+003,9.117908e+003,,6.865560e+002,1.665160e+004,9.117908e+003,9.117908e+003
8.002240e+002,1.548630e+004,9.109195e+003,9.109195e+003,,6.864560e+002,1.548630e+004,9.109195e+003,9.109195e+003
8.003240e+002,1.477040e+004,9.101449e+003,9.101449e+003,,6.863560e+002,1.477040e+004,9.101449e+003,9.101449e+003
8.004240e+002,1.393180e+004,9.094841e+003,9.094841e+003,,6.862560e+002,1.393180e+004,9.094841e+003,9.094841e+003
8.005240e+002,1.331650e+004,9.089065e+003,9.089065e+003,,6.861560e+002,1.331650e+004,9.089065e+003,9.089065e+003
8.006240e+002,1.257220e+004,9.084299e+003,9.084299e+003,,6.860560e+002,1.257220e+004,9.084299e+003,9.084299e+003
8.007240e+002,1.239160e+004,9.079774e+003,9.079774e+003,,6.859560e+002,1.239160e+004,9.079774e+003,9.079774e+003
8.008240e+002,1.171300e+004,9.076172e+003,9.076172e+003,,6.858560e+002,1.171300e+004,9.076172e+003,9.076172e+003
8.009240e+002,1.154370e+004,9.072796e+003,9.072796e+003,,6.857560e+002,1.154370e+004,9.072796e+003,9.072796e+003
8.010240e+002,1.126800e+004,9.069792e+003,9.069792e+003,,6.856560e+002,1.126800e+004,9.069792e+003,9.069792e+003
8.011240e+002,1.105800e+004,9.067072e+003,9.067072e+003,,6.855560e+002,1.105800e+004,9.067072e+003,9.067072e+003
8.012240e+002,1.093710e+004,9.064514e+003,9.064514e+003,,6.854560e+002,1.093710e+004,9.064514e+003,9.064514e+003
8.013240e+002,1.080790e+004,9.062128e+003,9.062128e+003,,6.853560e+002,1.080790e+004,9.062128e+003,9.062128e+003
8.014240e+002,1.063830e+004,9.059972e+003,9.059972e+003,,6.852560e+002,1.063830e+004,9.059972e+003,9.059972e+003
8.015240e+002,1.069430e+004,9.057736e+003,9.057736e+003,,6.851560e+002,1.069430e+004,9.057736e+003,9.057736e+003
8.016240e+002,1.064000e+004,9.055571e+003,9.055571e+003,,6.850560e+002,1.064000e+004,9.055571e+003,9.055571e+003
8.017240e+002,1.059070e+004,9.053471e+003,9.053471e+003,,6.849560e+002,1.059070e+004,9.053471e+003,9.053471e+003
8.018240e+002,1.068220e+004,9.051242e+003,9.051242e+003,,6.848560e+002,1.068220e+004,9.051242e+003,9.051242e+003
8.019240e+002,1.074090e+004,9.048931e+003,9.048931e+003,,6.847560e+002,1.074090e+004,9.048931e+003,9.048931e+003
8.020240e+002,1.078430e+004,9.046556e+003,9.046556e+003,,6.846560e+002,1.078430e+004,9.046556e+003,9.046556e+003
8.021240e+002,1.066840e+004,9.044337e+003,9.044337e+003,,6.845560e+002,1.066840e+004,9.044337e+003,9.044337e+003
8.022240e+002,1.079800e+004,9.041938e+003,9.041938e+003,,6.844560e+002,1.079800e+004,9.041938e+003,9.041938e+003
8.023240e+002,1.101000e+004,9.039246e+003,9.039246e+003,,6.843560e+002,1.101000e+004,9.039246e+003,9.039246e+003
8.024240e+002,1.095880e+004,9.036619e+003,9.036619e+003,,6.842560e+002,1.095880e+004,9.036619e+003,9.036619e+003
8.025240e+002,1.125380e+004,9.033586e+003,9.033586e+003,,6.841560e+002,1.125380e+004,9.033586e+003,9.033586e+003
8.026240e+002,1.107280e+004,9.030796e+003,9.030796e+003,,6.840560e+002,1.107280e+004,9.030796e+003,9.030796e+003
8.027240e+002,1.136960e+004,9.027596e+003,9.027596e+003,,6.839560e+002,1.136960e+004,9.027596e+003,9.027596e+003
8.028240e+002,1.129020e+004,9.024500e+003,9.024500e+003,,6.838560e+002,1.129020e+004,9.024500e+003,9.024500e+003
