"Cycle 1:CoOTf1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.41","781.87","786.28","796.79","802.65",
FWHM,,"3.66","3.66","5.74","3.79","4.78",
Area,,"54536.57","40670.65","60855.51","39905.07","31127.76",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.749620e+002,6.836490e+004,6.837697e+004,6.837481e+004,6.839737e+004,6.840613e+004,6.848860e+004,6.836490e+004,6.858428e+004,,8.117180e+002,3.418245e+004,3.418849e+004,3.418740e+004,3.419869e+004,3.420306e+004,3.424430e+004,3.418245e+004,3.429214e+004
6.750620e+002,6.786100e+004,6.787315e+004,6.787098e+004,6.789375e+004,6.790278e+004,6.798765e+004,6.786100e+004,6.808431e+004,,8.116180e+002,3.393050e+004,3.393658e+004,3.393549e+004,3.394688e+004,3.395139e+004,3.399382e+004,3.393050e+004,3.404215e+004
6.751620e+002,6.843380e+004,6.844603e+004,6.844385e+004,6.846683e+004,6.847613e+004,6.856340e+004,6.843380e+004,6.866103e+004,,8.115180e+002,3.421690e+004,3.422301e+004,3.422192e+004,3.423342e+004,3.423807e+004,3.428170e+004,3.421690e+004,3.433052e+004
6.752620e+002,6.846500e+004,6.847731e+004,6.847511e+004,6.849831e+004,6.850796e+004,6.859851e+004,6.846500e+004,6.869721e+004,,8.114180e+002,3.423250e+004,3.423865e+004,3.423756e+004,3.424916e+004,3.425398e+004,3.429925e+004,3.423250e+004,3.434860e+004
6.753620e+002,6.891160e+004,6.892399e+004,6.892178e+004,6.894519e+004,6.895521e+004,6.904955e+004,6.891160e+004,6.914932e+004,,8.113180e+002,3.445580e+004,3.446200e+004,3.446089e+004,3.447260e+004,3.447760e+004,3.452477e+004,3.445580e+004,3.457466e+004
6.754620e+002,6.846030e+004,6.847277e+004,6.847055e+004,6.849417e+004,6.850455e+004,6.860269e+004,6.846030e+004,6.870353e+004,,8.112180e+002,3.423015e+004,3.423639e+004,3.423528e+004,3.424708e+004,3.425227e+004,3.430134e+004,3.423015e+004,3.435176e+004
6.755620e+002,6.825680e+004,6.826935e+004,6.826712e+004,6.829095e+004,6.830169e+004,6.840363e+004,6.825680e+004,6.850554e+004,,8.111180e+002,3.412840e+004,3.413468e+004,3.413356e+004,3.414547e+004,3.415084e+004,3.420181e+004,3.412840e+004,3.425277e+004
6.756620e+002,6.816900e+004,6.818164e+004,6.817939e+004,6.820343e+004,6.821453e+004,6.832026e+004,6.816900e+004,6.842325e+004,,8.110180e+002,3.408450e+004,3.409082e+004,3.408970e+004,3.410171e+004,3.410726e+004,3.416013e+004,3.408450e+004,3.421162e+004
6.757620e+002,6.818010e+004,6.819282e+004,6.819057e+004,6.821481e+004,6.822627e+004,6.833580e+004,6.818010e+004,6.843986e+004,,8.109180e+002,3.409005e+004,3.409641e+004,3.409528e+004,3.410740e+004,3.411313e+004,3.416790e+004,3.409005e+004,3.421993e+004
6.758620e+002,6.787230e+004,6.788510e+004,6.788284e+004,6.790729e+004,6.791911e+004,6.803244e+004,6.787230e+004,6.813758e+004,,8.108180e+002,3.393615e+004,3.394255e+004,3.394142e+004,3.395364e+004,3.395955e+004,3.401622e+004,3.393615e+004,3.406879e+004
6.759620e+002,6.796670e+004,6.797959e+004,6.797732e+004,6.800196e+004,6.801425e+004,6.813128e+004,6.796670e+004,6.823760e+004,,8.107180e+002,3.398335e+004,3.398979e+004,3.398866e+004,3.400098e+004,3.400712e+004,3.406564e+004,3.398335e+004,3.411880e+004
