"Cycle 1:CoOTf1:F1s Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,5.000000e-001
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,Background,Envelope,,B.E.,CPS,Background CPS,Envelope CPS
7.985620e+002,1.653720e+004,7.113379e+003,7.113379e+003,,6.881180e+002,3.307440e+004,1.422676e+004,1.422676e+004
7.986620e+002,1.667670e+004,7.094238e+003,7.094238e+003,,6.880180e+002,3.335340e+004,1.418848e+004,1.418848e+004
7.987620e+002,1.644670e+004,7.075519e+003,7.075519e+003,,6.879180e+002,3.289340e+004,1.415104e+004,1.415104e+004
7.988620e+002,1.636900e+004,7.056917e+003,7.056917e+003,,6.878180e+002,3.273800e+004,1.411383e+004,1.411383e+004
7.989620e+002,1.609580e+004,7.038826e+003,7.038826e+003,,6.877180e+002,3.219160e+004,1.407765e+004,1.407765e+004
7.990620e+002,1.574080e+004,7.021408e+003,7.021408e+003,,6.876180e+002,3.148160e+004,1.404282e+004,1.404282e+004
7.991620e+002,1.529590e+004,7.004847e+003,7.004847e+003,,6.875180e+002,3.059180e+004,1.400969e+004,1.400969e+004
7.992620e+002,1.473300e+004,6.989379e+003,6.989379e+003,,6.874180e+002,2.946600e+004,1.397876e+004,1.397876e+004
7.993620e+002,1.455190e+004,6.974242e+003,6.974242e+003,,6.873180e+002,2.910380e+004,1.394848e+004,1.394848e+004
7.994620e+002,1.360740e+004,6.960966e+003,6.960966e+003,,6.872180e+002,2.721480e+004,1.392193e+004,1.392193e+004
7.995620e+002,1.299740e+004,6.948883e+003,6.948883e+003,,6.871180e+002,2.599480e+004,1.389777e+004,1.389777e+004
7.996620e+002,1.268250e+004,6.937407e+003,6.937407e+003,,6.870180e+002,2.536500e+004,1.387481e+004,1.387481e+004
7.997620e+002,1.201900e+004,6.927236e+003,6.927236e+003,,6.869180e+002,2.403800e+004,1.385447e+004,1.385447e+004
7.998620e+002,1.155980e+004,6.917964e+003,6.917964e+003,,6.868180e+002,2.311960e+004,1.383593e+004,1.383593e+004
7.999620e+002,1.110320e+004,6.909587e+003,6.909587e+003,,6.867180e+002,2.220640e+004,1.381917e+004,1.381917e+004
8.000620e+002,1.027840e+004,6.902844e+003,6.902844e+003,,6.866180e+002,2.055680e+004,1.380569e+004,1.380569e+004
8.001620e+002,9.793670e+003,6.897058e+003,6.897058e+003,,6.865180e+002,1.958734e+004,1.379412e+004,1.379412e+004
8.002620e+002,9.798160e+003,6.891252e+003,6.891252e+003,,6.864180e+002,1.959632e+004,1.378250e+004,1.378250e+004
8.003620e+002,9.490120e+003,6.886050e+003,6.886050e+003,,6.863180e+002,1.898024e+004,1.377210e+004,1.377210e+004
8.004620e+002,9.112180e+003,6.881594e+003,6.881594e+003,,6.862180e+002,1.822436e+004,1.376319e+004,1.376319e+004
8.005620e+002,8.814500e+003,6.877726e+003,6.877726e+003,,6.861180e+002,1.762900e+004,1.375545e+004,1.375545e+004
8.006620e+002,8.713630e+003,6.874051e+003,6.874051e+003,,6.860180e+002,1.742726e+004,1.374810e+004,1.374810e+004
8.007620e+002,8.341520e+003,6.871114e+003,6.871114e+003,,6.859180e+002,1.668304e+004,1.374223e+004,1.374223e+004
8.008620e+002,8.276020e+003,6.868302e+003,6.868302e+003,,6.858180e+002,1.655204e+004,1.373660e+004,1.373660e+004
8.009620e+002,8.121570e+003,6.865793e+003,6.865793e+003,,6.857180e+002,1.624314e+004,1.373159e+004,1.373159e+004
8.010620e+002,8.118910e+003,6.863285e+003,6.863285e+003,,6.856180e+002,1.623782e+004,1.372657e+004,1.372657e+004
8.011620e+002,7.878410e+003,6.861253e+003,6.861253e+003,,6.855180e+002,1.575682e+004,1.372251e+004,1.372251e+004
8.012620e+002,7.925420e+003,6.859123e+003,6.859123e+003,,6.854180e+002,1.585084e+004,1.371825e+004,1.371825e+004
8.013620e+002,7.917850e+003,6.857004e+003,6.857004e+003,,6.853180e+002,1.583570e+004,1.371401e+004,1.371401e+004
8.014620e+002,7.955490e+003,6.854806e+003,6.854806e+003,,6.852180e+002,1.591098e+004,1.370961e+004,1.370961e+004
8.015620e+002,8.052980e+003,6.852407e+003,6.852407e+003,,6.851180e+002,1.610596e+004,1.370481e+004,1.370481e+004
8.016620e+002,8.033090e+003,6.850044e+003,6.850044e+003,,6.850180e+002,1.606618e+004,1.370009e+004,1.370009e+004
8.017620e+002,8.021990e+003,6.847699e+003,6.847699e+003,,6.849180e+002,1.604398e+004,1.369540e+004,1.369540e+004
8.018620e+002,8.194330e+003,6.845003e+003,6.845003e+003,,6.848180e+002,1.638866e+004,1.369001e+004,1.369001e+004
8.019620e+002,8.134990e+003,6.842421e+003,6.842421e+003,,6.847180e+002,1.626998e+004,1.368484e+004,1.368484e+004
8.020620e+002,8.330460e+003,6.839443e+003,6.839443e+003,,6.846180e+002,1.666092e+004,1.367889e+004,1.367889e+004
8.021620e+002,8.374660e+003,6.836370e+003,6.836370e+003,,6.845180e+002,1.674932e+004,1.367274e+004,1.367274e+004
8.022620e+002,8.460250e+003,6.833120e+003,6.833120e+003,,6.844180e+002,1.692050e+004,1.366624e+004,1.366624e+004
8.023620e+002,8.298630e+003,6.830187e+003,6.830187e+003,,6.843180e+002,1.659726e+004,1.366037e+004,1.366037e+004
8.024620e+002,8.590220e+003,6.826664e+003,6.826664e+003,,6.842180e+002,1.718044e+004,1.365333e+004,1.365333e+004
8.025620e+002,8.850940e+003,6.822612e+003,6.822612e+003,,6.841180e+002,1.770188e+004,1.364522e+004,1.364522e+004
8.026620e+002,8.840880e+003,6.818573e+003,6.818573e+003,,6.840180e+002,1.768176e+004,1.363715e+004,1.363715e+004
8.027620e+002,8.793870e+003,6.814619e+003,6.814619e+003,,6.839180e+002,1.758774e+004,1.362924e+004,1.362924e+004
8.028620e+002,8.952590e+003,6.810340e+003,6.810340e+003,,6.838180e+002,1.790518e+004,1.362068e+004,1.362068e+004
8.029620e+002,8.848860e+003,6.806260e+003,6.806260e+003,,6.837180e+002,1.769772e+004,1.361252e+004,1.361252e+004
8.030620e+002,8.844410e+003,6.802180e+003,6.802180e+003,,6.836180e+002,1.768882e+004,1.360436e+004,1.360436e+004
8.031620e+002,8.676390e+003,6.798429e+003,6.798429e+003,,6.835180e+002,1.735278e+004,1.359686e+004,1.359686e+004
8.032620e+002,8.702750e+003,6.794617e+003,6.794617e+003,,6.834180e+002,1.740550e+004,1.358923e+004,1.358923e+004
8.033620e+002,8.564180e+003,6.791075e+003,6.791075e+003,,6.833180e+002,1.712836e+004,1.358215e+004,1.358215e+004
8.034620e+002,8.581310e+003,6.787492e+003,6.787492e+003,,6.832180e+002,1.716262e+004,1.357498e+004,1.357498e+004
8.035620e+002,8.368300e+003,6.784328e+003,6.784328e+003,,6.831180e+002,1.673660e+004,1.356866e+004,1.356866e+004
8.036620e+002,8.380890e+003,6.781133e+003,6.781133e+003,,6.830180e+002,1.676178e+004,1.356227e+004,1.356227e+004
8.037620e+002,7.980790e+003,6.778731e+003,6.778731e+003,,6.829180e+002,1.596158e+004,1.355746e+004,1.355746e+004
8.038620e+002,7.927920e+003,6.776431e+003,6.776431e+003,,6.828180e+002,1.585584e+004,1.355286e+004,1.355286e+004
8.039620e+002,7.939060e+003,6.774104e+003,6.774104e+003,,6.827180e+002,1.587812e+004,1.354821e+004,1.354821e+004
8.040620e+002,7.595210e+003,6.772461e+003,6.772461e+003,,6.826180e+002,1.519042e+004,1.354492e+004,1.354492e+004
8.041620e+002,7.588290e+003,6.770828e+003,6.770828e+003,,6.825180e+002,1.517658e+004,1.354166e+004,1.354166e+004
8.042620e+002,7.478380e+003,6.769412e+003,6.769412e+003,,6.824180e+002,1.495676e+004,1.353882e+004,1.353882e+004
8.043620e+002,7.266300e+003,6.768417e+003,6.768417e+003,,6.823180e+002,1.453260e+004,1.353683e+004,1.353683e+004
8.044620e+002,7.256390e+003,6.767440e+003,6.767440e+003,,6.822180e+002,1.451278e+004,1.353488e+004,1.353488e+004
8.045620e+002,7.114860e+003,6.766745e+003,6.766745e+003,,6.821180e+002,1.422972e+004,1.353349e+004,1.353349e+004
8.046620e+002,7.004400e+003,6.766269e+003,6.766269e+003,,6.820180e+002,1.400880e+004,1.353254e+004,1.353254e+004
8.047620e+002,7.105320e+003,6.765591e+003,6.765591e+003,,6.819180e+002,1.421064e+004,1.353118e+004,1.353118e+004
8.048620e+002,6.933050e+003,6.765256e+003,6.765256e+003,,6.818180e+002,1.386610e+004,1.353051e+004,1.353051e+004
8.049620e+002,6.907460e+003,6.764971e+003,6.764971e+003,,6.817180e+002,1.381492e+004,1.352994e+004,1.352994e+004
8.050620e+002,6.751500e+003,6.764944e+003,6.764944e+003,,6.816180e+002,1.350300e+004,1.352989e+004,1.352989e+004
8.051620e+002,6.922270e+003,6.764629e+003,6.764629e+003,,6.815180e+002,1.384454e+004,1.352926e+004,1.352926e+004
8.052620e+002,6.886530e+003,6.764385e+003,6.764385e+003,,6.814180e+002,1.377306e+004,1.352877e+004,1.352877e+004
8.053620e+002,6.761140e+003,6.764379e+003,6.764379e+003,,6.813180e+002,1.352228e+004,1.352876e+004,1.352876e+004
8.054620e+002,6.825440e+003,6.764257e+003,6.764257e+003,,6.812180e+002,1.365088e+004,1.352851e+004,1.352851e+004
8.055620e+002,6.715960e+003,6.764160e+003,6.764160e+003,,6.811180e+002,1.343192e+004,1.352832e+004,1.352832e+004
8.056620e+002,6.760450e+003,6.764153e+003,6.764153e+003,,6.810180e+002,1.352090e+004,1.352831e+004,1.352831e+004
8.057620e+002,6.737110e+003,6.737110e+003,6.737110e+003,,6.809180e+002,1.347422e+004,1.347422e+004,1.347422e+004
8.058620e+002,6.713540e+003,6.713540e+003,6.713540e+003,,6.808180e+002,1.342708e+004,1.342708e+004,1.342708e+004
8.059620e+002,6.835430e+003,6.835430e+003,6.835430e+003,,6.807180e+002,1.367086e+004,1.367086e+004,1.367086e+004
8.060620e+002,6.763450e+003,6.763450e+003,6.763450e+003,,6.806180e+002,1.352690e+004,1.352690e+004,1.352690e+004
