"Cycle 1:CoEchem1:Co2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,2.000000e+000
Name,,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",
Position,,"780.56","782.07","786.19","796.93","802.59",
FWHM,,"3.36","3.36","6.00","3.53","5.19",
Area,,"10393.60","7912.32","12828.12","7306.91","6166.48",
Lineshape,,"LA(50)","LA(50)","LA(50)","LA(50)","LA(50)",
K.E.,Counts,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background,Envelope,,B.E.,CPS,"Co 2p","Co 2p","Co 2p","Co 2p","Co 2p",Background CPS,Envelope CPS
6.741240e+002,2.739300e+004,2.739502e+004,2.739469e+004,2.739967e+004,2.739937e+004,2.741501e+004,2.739300e+004,2.743176e+004,,8.125560e+002,1.369650e+004,1.369751e+004,1.369735e+004,1.369984e+004,1.369968e+004,1.370751e+004,1.369650e+004,1.371588e+004
6.742240e+002,2.731150e+004,2.731353e+004,2.731321e+004,2.731823e+004,2.731796e+004,2.733401e+004,2.731150e+004,2.735093e+004,,8.124560e+002,1.365575e+004,1.365677e+004,1.365660e+004,1.365911e+004,1.365898e+004,1.366700e+004,1.365575e+004,1.367546e+004
6.743240e+002,2.728600e+004,2.728804e+004,2.728772e+004,2.729278e+004,2.729254e+004,2.730900e+004,2.728600e+004,2.732609e+004,,8.123560e+002,1.364300e+004,1.364402e+004,1.364386e+004,1.364639e+004,1.364627e+004,1.365450e+004,1.364300e+004,1.366304e+004
6.744240e+002,2.732060e+004,2.732266e+004,2.732233e+004,2.732743e+004,2.732723e+004,2.734410e+004,2.732060e+004,2.736135e+004,,8.122560e+002,1.366030e+004,1.366133e+004,1.366116e+004,1.366372e+004,1.366362e+004,1.367205e+004,1.366030e+004,1.368067e+004
6.745240e+002,2.713180e+004,2.713387e+004,2.713354e+004,2.713869e+004,2.713852e+004,2.715587e+004,2.713180e+004,2.717329e+004,,8.121560e+002,1.356590e+004,1.356694e+004,1.356677e+004,1.356934e+004,1.356926e+004,1.357794e+004,1.356590e+004,1.358665e+004
6.746240e+002,2.758540e+004,2.758748e+004,2.758715e+004,2.759234e+004,2.759221e+004,2.761022e+004,2.758540e+004,2.762780e+004,,8.120560e+002,1.379270e+004,1.379374e+004,1.379358e+004,1.379617e+004,1.379610e+004,1.380511e+004,1.379270e+004,1.381390e+004
6.747240e+002,2.734370e+004,2.734580e+004,2.734546e+004,2.735069e+004,2.735060e+004,2.736926e+004,2.734370e+004,2.738702e+004,,8.119560e+002,1.367185e+004,1.367290e+004,1.367273e+004,1.367535e+004,1.367530e+004,1.368463e+004,1.367185e+004,1.369351e+004
6.748240e+002,2.711940e+004,2.712151e+004,2.712118e+004,2.712645e+004,2.712640e+004,2.714571e+004,2.711940e+004,2.716364e+004,,8.118560e+002,1.355970e+004,1.356076e+004,1.356059e+004,1.356322e+004,1.356320e+004,1.357286e+004,1.355970e+004,1.358182e+004
6.749240e+002,2.732200e+004,2.732412e+004,2.732379e+004,2.732910e+004,2.732910e+004,2.734906e+004,2.732200e+004,2.736717e+004,,8.117560e+002,1.366100e+004,1.366206e+004,1.366189e+004,1.366455e+004,1.366455e+004,1.367453e+004,1.366100e+004,1.368358e+004
6.750240e+002,2.737830e+004,2.738044e+004,2.738010e+004,2.738546e+004,2.738550e+004,2.740610e+004,2.737830e+004,2.742440e+004,,8.116560e+002,1.368915e+004,1.369022e+004,1.369005e+004,1.369273e+004,1.369275e+004,1.370305e+004,1.368915e+004,1.371220e+004
