"Cycle 1:CoEchem1:S2p Scan"
,Characteristic Energy eV,1.486680e+003,Acquisition Time s,1.000000e+000
Name,,"S 2p","S 2p",
Position,,"168.33","169.51",
FWHM,,"2.64","2.64",
Area,,"267.86","133.93",
Lineshape,,"LA(50)","LA(50)",
K.E.,Counts,"S 2p","S 2p",Background,Envelope,,B.E.,CPS,"S 2p","S 2p",Background CPS,Envelope CPS
1.323824e+003,7.086160e+002,7.094003e+002,7.088707e+002,7.086160e+002,7.096550e+002,,1.628560e+002,7.086160e+002,7.094003e+002,7.088707e+002,7.086160e+002,7.096550e+002
1.323924e+003,8.334530e+002,8.342077e+002,8.336992e+002,8.334530e+002,8.344538e+002,,1.627560e+002,8.334530e+002,8.342077e+002,8.336992e+002,8.334530e+002,8.344538e+002
1.324024e+003,7.453720e+002,7.460970e+002,7.456099e+002,7.453720e+002,7.463349e+002,,1.626560e+002,7.453720e+002,7.460970e+002,7.456099e+002,7.453720e+002,7.463349e+002
1.324124e+003,7.985490e+002,7.992443e+002,7.987802e+002,7.985490e+002,7.994755e+002,,1.625560e+002,7.985490e+002,7.992443e+002,7.987802e+002,7.985490e+002,7.994755e+002
1.324224e+003,8.142380e+002,8.149045e+002,8.144625e+002,8.142380e+002,8.151290e+002,,1.624560e+002,8.142380e+002,8.149045e+002,8.144625e+002,8.142380e+002,8.151290e+002
1.324324e+003,7.953040e+002,7.959484e+002,7.955218e+002,7.953040e+002,7.961661e+002,,1.623560e+002,7.953040e+002,7.959484e+002,7.955218e+002,7.953040e+002,7.961661e+002
1.324424e+003,7.553170e+002,7.559393e+002,7.555281e+002,7.553170e+002,7.561503e+002,,1.622560e+002,7.553170e+002,7.559393e+002,7.555281e+002,7.553170e+002,7.561503e+002
1.324524e+003,7.812390e+002,7.818391e+002,7.814437e+002,7.812390e+002,7.820438e+002,,1.621560e+002,7.812390e+002,7.818391e+002,7.814437e+002,7.812390e+002,7.820438e+002
1.324624e+003,7.805570e+002,7.811350e+002,7.807563e+002,7.805570e+002,7.813343e+002,,1.620560e+002,7.805570e+002,7.811350e+002,7.807563e+002,7.805570e+002,7.813343e+002
1.324724e+003,7.483090e+002,7.488660e+002,7.485029e+002,7.483090e+002,7.490599e+002,,1.619560e+002,7.483090e+002,7.488660e+002,7.485029e+002,7.483090e+002,7.490599e+002
